side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws
Batting,2026091201,2026091201#6,1,1,BOTTOM,0-0,0,Pen4,Alpha6000,R,SFF,107.8,0.5,0.0,17,true,-0.3,0.5,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#6,2,1,BOTTOM,1-0,0,Pen4,Alpha6000,R,ツーシームファスト,120.2,0.8,-0.7,10,false,0.7,1.4,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#6,3,1,BOTTOM,2-0,0,Pen4,Alpha6000,R,SFF,107.7,-0.6,0.0,23,false,-0.1,0.4,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#6,4,1,BOTTOM,2-1,0,Pen4,Alpha6000,R,ツーシームファスト,121.2,0.8,-0.7,3,false,-0.1,1.8,true,false,true,FOUL,51.4,32.4,-103.4,8.2,STRIKE_OUT,R
Batting,2026091201,2026091201#7,1,1,BOTTOM,2-2,0,Pen4,Alpha6000,R,ライズボール,116.1,1.9,0.0,2,false,-0.3,2.2,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#14,2,2,BOTTOM,0-0,0,Pen4,Alpha6000,R,SFF,107.4,-0.6,0.0,25,false,0.8,0.0,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#14,3,2,BOTTOM,0-1,0,Pen4,Alpha6000,R,ツーシームファスト,121.7,0.9,-0.6,11,false,-0.9,1.2,true,false,true,FOUL,125.9,29.8,-41.2,67.3,STRIKE_OUT,R
Batting,2026091201,2026091201#15,1,2,BOTTOM,0-2,0,Pen4,Alpha6000,R,ライズボール,115.7,2.0,0.0,3,false,0.2,2.2,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#24,1,3,BOTTOM,0-0,1,Pen4,Alpha6000,R,ツーシームファスト,120.7,0.8,-0.7,25,false,1.5,0.5,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#24,2,3,BOTTOM,0-1,1,Pen4,Alpha6000,R,ツーシームファスト,121.3,0.8,-0.7,20,false,1.1,0.8,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#24,3,3,BOTTOM,1-1,1,Pen4,Alpha6000,R,パワーカーブ,110.6,-0.9,1.1,20,false,1.3,0.8,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#24,4,3,BOTTOM,2-1,1,Pen4,Alpha6000,R,パワーカーブ,109.8,-2.7,1.3,24,false,0.4,0.0,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,R
Batting,2026091201,2026091201#25,1,3,BOTTOM,2-2,1,Pen4,Alpha6000,R,ライズボール,117.6,2.0,0.0,4,false,0.3,2.3,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#32,1,4,BOTTOM,0-0,2,Pen4,Alpha6000,R,パワーカーブ,109.1,2.5,0.4,3,false,0.0,1.7,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#32,2,4,BOTTOM,1-0,2,Pen4,Alpha6000,R,パワーカーブ,109.0,1.8,0.6,9,true,0.3,1.6,false,false,false,BALL,,,,,,R
