game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,2,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,2026091201#19,field,Alpha6000,2,57,121.9,-11.8,2.9,LT0/100-125,,,,,PITCHER,,285.4,-57.2,286.1,-69.4,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,3,TOP,2026091201#21,field,Alpha6000,2,61,146.9,-50.6,0.6,LT0/125-150,,,,,PITCHER,,285.4,-57.2,285.6,-67.1,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091201,4,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,2026091201#32,run,Alpha6000,71,154,153.9,20.4,99.6,15-30/150-175,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,4,BOTTOM,2026091201#33,run,Alpha6000,48,562,157.0,20.7,77.2,15-30/150-175,2,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,5,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,1,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,2,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,2,TOP,2026091202#13,field,Alpha6000,2,38,157.3,-29.7,3.4,LT0/150-175,,,,,PITCHER,,286.3,-57.3,285.2,-69.9,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091202,2,BOTTOM,2026091202#17,run,Alpha6000,56,118,169.7,14.8,96.6,0-15/150-175,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,2,BOTTOM,2026091202#18,run,Alpha6000,-1,-1,183.6,30.4,,30-45/175-200,2,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,3,BOTTOM,2026091202#24,run,Alpha6000,69,186,156.2,20.8,100.2,15-30/150-175,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,3,BOTTOM,2026091202#25,run,Alpha6000,51,109,215.8,15.2,112.6,15-30/200+,2,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,4,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,4,BOTTOM,2026091202#33,run,Alpha6000,11,89,208.3,1.6,29.1,0-15/200+,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,4,BOTTOM,2026091202#35,run,Alpha6000,56,143,190.9,19.3,106.7,15-30/175-200,1,3,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,5,TOP,,spot,Alpha6000,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,5,BOTTOM,2026091202#44,run,Alpha6000,-1,-1,197.4,20.4,,15-30/175-200,0,4,false,0.00,,,,,,,,,,,,,,,false,,,,,R
