side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,init_velocity
Batting,2026091201,2026091201#10,2,2,TOP,0-0,1,syobonnkun,M0nJ,R,ツーシームファスト,119.4,0.9,-0.7,8,true,0.0,1.4,true,false,true,IN_PLAY,168.0,29.2,-1.8,104.8,FLY_OUT,R,120.5
Batting,2026091201,2026091201#19,1,3,TOP,0-0,1,syobonnkun,M0nJ,R,ツーシームファスト,119.1,0.9,-0.7,13,true,0.2,0.9,true,true,false,SWINGING_STRIKE,,,,,,R,120.2
Batting,2026091201,2026091201#19,2,3,TOP,0-1,1,syobonnkun,M0nJ,R,サークルチェンジ,65.1,0.6,-0.9,23,false,0.0,0.1,true,true,false,SWINGING_STRIKE,,,,,,R,107.6
Batting,2026091201,2026091201#19,3,3,TOP,0-2,1,syobonnkun,M0nJ,R,SFF,107.3,-0.6,0.0,24,false,0.5,-0.2,true,false,true,IN_PLAY,121.9,-11.8,8.2,35.2,GROUND_OUT,R,107.4
Batting,2026091201,2026091201#27,2,4,TOP,0-0,1,syobonnkun,M0nJ,R,SFF,108.0,-0.6,0.0,19,true,0.6,0.9,true,false,true,IN_PLAY,144.3,4.6,18.0,37.8,GROUND_OUT,R,108.1
Batting,2026091201,2026091201#37,1,5,TOP,0-0,0,syobonnkun,M0nJ,R,ツーシームファスト,120.2,0.8,-0.7,19,true,0.3,0.6,false,false,false,CALLED_STRIKE,,,,,,R,121.3
Batting,2026091201,2026091201#37,2,5,TOP,0-1,0,syobonnkun,M0nJ,R,サークルチェンジ,65.2,0.4,-0.9,18,true,-0.1,0.6,true,true,false,SWINGING_STRIKE,,,,,,R,107.7
Batting,2026091201,2026091201#37,3,5,TOP,0-2,0,syobonnkun,M0nJ,R,SFF,108.4,1.0,0.0,18,true,0.1,0.6,false,false,false,BALL,,,,,STRIKE_OUT,R,108.5
Batting,2026091201,2026091201#38,1,5,TOP,1-2,0,syobonnkun,M0nJ,R,スラーブ,81.9,-0.3,2.3,24,false,0.6,0.5,true,true,false,SWINGING_STRIKE,,,,,,R,101.4
Batting,2026091201,2026091201#41,2,5,TOP,0-0,2,syobonnkun,M0nJ,R,ツーシームファスト,118.9,0.8,-0.7,8,true,0.2,1.4,true,false,true,FOUL,62.9,55.5,-159.4,10.5,,R,120.0
Batting,2026091201,2026091201#41,3,5,TOP,0-2,2,syobonnkun,M0nJ,R,SFF,108.4,-0.5,0.0,13,true,0.0,1.2,true,false,true,FOUL,40.2,-11.2,150.7,7.2,STRIKE_OUT,R,108.5
Batting,2026091202,2026091202#4,2,1,TOP,0-0,2,syobonnkun,M0nJ,R,ツーシームファスト,119.8,0.8,-0.7,18,true,0.1,0.5,true,true,false,SWINGING_STRIKE,,,,,,R,120.9
Batting,2026091202,2026091202#4,3,1,TOP,0-1,2,syobonnkun,M0nJ,R,サークルチェンジ,65.6,0.3,-0.9,13,true,-0.2,1.1,true,true,false,SWINGING_STRIKE,,,,,,R,108.4
Batting,2026091202,2026091202#4,4,1,TOP,0-2,2,syobonnkun,M0nJ,R,SFF,107.9,-0.6,0.0,24,false,0.3,0.4,true,false,true,IN_PLAY,129.3,-17.7,16.7,32.5,SINGLE,R,108.0
Batting,2026091202,2026091202#9,1,1,TOP,0-0,2,syobonnkun,M0nJ,R,サークルチェンジ,65.9,0.4,-0.9,14,true,0.4,0.9,false,false,false,CALLED_STRIKE,,,,,,R,108.9
Batting,2026091202,2026091202#9,2,1,TOP,0-1,2,syobonnkun,M0nJ,R,SFF,108.1,-0.6,0.0,9,true,0.5,1.6,false,false,false,CALLED_STRIKE,,,,,,R,108.2
Batting,2026091202,2026091202#9,3,1,TOP,0-2,2,syobonnkun,M0nJ,R,高速スラーブ,93.1,-1.4,1.8,25,false,0.7,0.5,true,false,true,FOUL,85.8,-24.3,47.2,24.1,,R,108.6
Batting,2026091202,2026091202#13,2,2,TOP,0-0,0,gaifukaisei,M0nJ,R,ファストボール,123.2,0.8,0.0,4,false,0.4,2.0,false,false,false,BALL,,,,,,L,124.5
Batting,2026091202,2026091202#13,3,2,TOP,1-0,0,gaifukaisei,M0nJ,R,スライダー,99.3,-0.3,-1.7,17,true,-0.4,0.6,true,false,true,IN_PLAY,157.3,-29.7,-8.3,34.3,SINGLE,L,108.7
Batting,2026091202,2026091202#22,1,3,TOP,0-0,2,gaifukaisei,M0nJ,R,シンカー,75.5,-2.0,2.4,25,false,1.2,0.5,true,true,false,SWINGING_STRIKE,,,,,,L,96.8
Batting,2026091202,2026091202#22,2,3,TOP,0-1,2,gaifukaisei,M0nJ,R,スライダー,99.3,-0.2,-1.8,23,false,0.0,0.1,false,false,false,BALL,,,,,,L,108.7
Batting,2026091202,2026091202#22,3,3,TOP,1-1,2,gaifukaisei,M0nJ,R,ファストボール,123.9,0.8,0.0,7,true,-0.3,1.4,false,false,false,CALLED_STRIKE,,,,,,L,125.2
Batting,2026091202,2026091202#22,4,3,TOP,1-2,2,gaifukaisei,M0nJ,R,シンカー,77.2,-0.8,2.0,20,false,1.1,0.8,false,false,false,BALL,,,,,STRIKE_OUT,L,99.0
Batting,2026091202,2026091202#23,1,3,TOP,2-2,2,gaifukaisei,M0nJ,R,スライダー,99.0,-0.4,-1.8,22,false,-0.2,0.4,false,false,false,CALLED_STRIKE,,,,,,L,108.4
Batting,2026091202,2026091202#39,2,5,TOP,0-0,1,gaifukaisei,M0nJ,R,スライダー,97.8,-0.4,-1.8,23,false,0.0,0.2,false,false,false,BALL,,,,,,L,108.1
Batting,2026091202,2026091202#39,3,5,TOP,1-0,1,gaifukaisei,M0nJ,R,ファストボール,124.2,0.8,0.0,12,true,-0.3,1.1,false,false,false,CALLED_STRIKE,,,,,,L,125.5
Batting,2026091202,2026091202#39,4,5,TOP,1-1,1,gaifukaisei,M0nJ,R,カーブ,77.1,-2.8,-2.5,17,true,-0.5,0.7,true,false,true,FOUL,84.4,-21.3,-114.9,7.3,,L,98.8
Batting,2026091202,2026091202#39,5,5,TOP,1-2,1,gaifukaisei,M0nJ,R,シンカー,76.9,-2.7,2.4,25,false,1.0,-0.2,true,false,true,IN_PLAY,92.6,-27.2,31.6,30.0,SINGLE,L,98.5
