game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind
2026091201,1,TOP,,spot,M0nJ,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,
2026091201,1,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091201,2,TOP,2026091201#10,run,M0nJ,75,75,168.0,29.2,106.6,15-30/150-175,0,0,true,1.00,,,,,,,,,,,,,,,true,,,FLY
2026091201,2,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091201,3,TOP,2026091201#19,run,M0nJ,2,57,121.9,-11.8,2.9,LT0/100-125,0,1,false,1.00,,,,,,,,,,,,,,,true,,,
2026091201,3,TOP,2026091201#20,run,M0nJ,95,140,156.6,33.9,107.2,30-45/150-175,1,3,false,1.00,,,,,,,,,,,,,,,false,,,
2026091201,3,TOP,2026091201#21,run,M0nJ,2,61,146.9,-50.6,0.6,LT0/125-150,3,3,false,1.00,,,,,,,,,,,,,,,false,,,
2026091201,3,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091201,4,TOP,2026091201#27,run,M0nJ,15,27,144.3,4.6,26.6,0-15/125-150,0,0,true,1.00,,,,,,,,,,,,,,,true,,,FORCE
2026091201,4,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091201,4,BOTTOM,2026091201#29,field,M0nJ,3,38,117.0,-14.6,3.6,LT0/100-125,,,,,THIRD_BASEMAN,1,267.5,-92.9,284.5,-70.0,false,false,true,false,false,0,7,121.8,true,true,false,true,
2026091202,1,TOP,2026091202#4,run,M0nJ,3,46,129.3,-17.7,3.6,LT0/125-150,0,1,false,0.88,,,,,,,,,,,,,,,true,,,
2026091202,1,TOP,2026091202#5,run,M0nJ,-1,-1,204.8,28.3,,15-30/200+,1,1,false,0.00,,,,,,,,,,,,,,,false,,,
2026091202,1,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091202,2,TOP,2026091202#13,run,M0nJ,2,38,157.3,-29.7,3.4,LT0/150-175,0,0,true,1.00,,,,,,,,,,,,,,,true,,,FORCE
2026091202,2,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091202,3,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091202,3,BOTTOM,2026091202#27,field,M0nJ,10,25,154.5,1.1,20.0,0-15/150-175,,,,,THIRD_BASEMAN,,267.1,-93.8,283.0,-86.3,false,false,false,false,false,0,-1,,false,false,false,false,
2026091202,4,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
2026091202,5,BOTTOM,,spot,M0nJ,,,,,,,,,,,THIRD_BASEMAN,,,,,,,,,,,,,,,,,,
