side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Batting,2026091201,2026091201#8,1,1,BOTTOM,0-0,2,Pen4,Opanku,R,ツーシームファスト,121.6,0.8,-0.7,12,true,-0.5,1.2,true,true,false,SWINGING_STRIKE,,,,,,R,,,122.7
Batting,2026091201,2026091201#8,2,1,BOTTOM,0-1,2,Pen4,Opanku,R,ライズボール,119.3,2.0,0.0,3,false,0.0,1.8,true,true,false,SWINGING_STRIKE,,,,,,R,,,115.9
Batting,2026091201,2026091201#8,3,1,BOTTOM,0-2,2,Pen4,Opanku,R,SFF,106.6,-0.5,0.0,23,false,0.0,0.1,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,R,,,106.7
Batting,2026091201,2026091201#16,1,2,BOTTOM,0-0,2,Pen4,Opanku,R,パワーカーブ,98.9,-1.9,1.2,21,false,-1.0,0.4,false,false,false,BALL,,,,,,R,,,110.3
Batting,2026091201,2026091201#16,2,2,BOTTOM,1-0,2,Pen4,Opanku,R,パワーカーブ,99.7,-2.7,1.3,22,false,-0.2,0.0,false,false,false,BALL,,,,,,R,,,111.2
Batting,2026091201,2026091201#16,3,2,BOTTOM,2-0,2,Pen4,Opanku,R,ツーシームファスト,119.9,0.8,-0.7,18,true,0.1,0.9,true,true,false,SWINGING_STRIKE,,,,,,R,,,121.0
Batting,2026091201,2026091201#16,4,2,BOTTOM,2-1,2,Pen4,Opanku,R,ライズボール,119.2,2.1,0.0,18,true,-0.1,0.8,false,false,false,CALLED_STRIKE,,,,,,R,,,115.8
Batting,2026091201,2026091201#16,5,2,BOTTOM,2-2,2,Pen4,Opanku,R,ライズボール,120.7,2.0,0.0,3,false,0.2,1.9,true,false,true,IN_PLAY,64.6,23.4,2.1,31.1,GROUND_OUT,R,,,117.3
Batting,2026091201,2026091201#29,1,4,BOTTOM,0-0,0,Pen4,Opanku,R,パワーカーブ,97.8,-0.9,1.2,17,true,-0.4,0.9,true,true,false,SWINGING_STRIKE,,,,,,R,,,109.1
Batting,2026091201,2026091201#29,2,4,BOTTOM,0-1,0,Pen4,Opanku,R,SFF,108.4,-0.6,0.0,23,false,0.1,0.2,false,false,false,BALL,,,,,,R,,,108.5
Batting,2026091201,2026091201#29,3,4,BOTTOM,1-1,0,Pen4,Opanku,R,ライズボール,119.4,2.1,0.0,3,false,0.0,1.8,true,true,false,SWINGING_STRIKE,,,,,,R,,,116.0
Batting,2026091201,2026091201#29,4,4,BOTTOM,1-2,0,Pen4,Opanku,R,SFF,107.5,0.8,0.0,16,false,-0.8,0.6,false,false,false,BALL,,,,,,R,,,107.6
Batting,2026091201,2026091201#29,5,4,BOTTOM,2-2,0,Pen4,Opanku,R,SFF,108.2,-0.6,0.0,23,false,0.0,0.2,true,false,true,IN_PLAY,117.0,-14.6,-27.9,28.2,SINGLE,R,,,108.3
Batting,2026091201,2026091201#34,1,4,BOTTOM,0-0,2,Pen4,Opanku,R,SFF,106.9,2.4,0.0,13,true,0.2,0.9,false,false,false,BALL,,,,,,R,,,107.0
Batting,2026091201,2026091201#34,2,4,BOTTOM,1-0,2,Pen4,Opanku,R,SFF,107.9,-0.2,0.0,23,false,0.1,0.2,false,false,false,BALL,,,,,,R,,,108.0
Batting,2026091201,2026091201#34,3,4,BOTTOM,2-0,2,Pen4,Opanku,R,SFF,107.6,-0.7,0.0,9,true,0.3,1.3,false,false,false,CALLED_STRIKE,,,,,,R,,,107.7
Batting,2026091201,2026091201#34,4,4,BOTTOM,2-1,2,Pen4,Opanku,R,ツーシームファスト,119.4,0.9,-0.7,9,true,0.5,1.5,false,false,false,CALLED_STRIKE,,,,,,R,,,120.5
Batting,2026091201,2026091201#34,5,4,BOTTOM,2-2,2,Pen4,Opanku,R,ツーシームファスト,119.9,0.9,-0.7,8,true,-0.1,1.5,false,false,false,CALLED_STRIKE,,,,,STRIKE_OUT,R,,,121.0
