game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,2,TOP,,spot,Opanku,,,,,,,,,,,RIGHT_FIELDER,,,,,,,,,,,,,,,,,,,R
2026091201,2,BOTTOM,2026091201#16,run,Opanku,29,58,64.6,23.4,21.0,15-30/LT100,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,3,TOP,,spot,Opanku,,,,,,,,,,,RIGHT_FIELDER,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,2026091201#17,field,Opanku,87,87,119.9,50.7,55.8,45+/100-125,,,,,RIGHT_FIELDER,1,320.5,-129.2,313.8,-114.6,true,false,false,true,false,0,-1,,false,false,false,false,,R
2026091201,3,TOP,,field,Opanku,30,113,158.1,12.0,55.9,0-15/150-175,,,,,RIGHT_FIELDER,1,322.9,-136.8,297.4,-121.1,false,false,true,false,false,1,25,127.4,false,true,false,false,,R
2026091201,4,TOP,,spot,Opanku,,,,,,,,,,,RIGHT_FIELDER,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,2026091201#29,run,Opanku,3,38,117.0,-14.6,3.6,LT0/100-125,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FORCE,,R
2026091201,5,TOP,,spot,Opanku,,,,,,,,,,,RIGHT_FIELDER,,,,,,,,,,,,,,,,,,,R
2026091202,1,TOP,2026091202#4,field,Opanku,3,46,129.3,-17.7,3.6,LT0/125-150,,,,,PITCHER,,273.0,-63.7,286.3,-70.0,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091202,2,TOP,2026091202#13,field,Opanku,2,38,157.3,-29.7,3.4,LT0/150-175,,,,,PITCHER,,273.0,-63.7,285.2,-69.9,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091202,3,TOP,2026091202#21,field,Opanku,2,53,131.6,-45.1,2.2,LT0/125-150,,,,,PITCHER,,273.0,-63.7,284.8,-68.6,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091202,5,TOP,2026091202#43,field,Opanku,2,72,87.0,-56.9,0.4,LT0/LT100,,,,,PITCHER,,273.0,-63.7,285.4,-66.9,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091202,5,BOTTOM,,field,Opanku,2,36,96.1,-58.0,2.4,LT0/LT100,,,,,PITCHER,,273.0,-63.7,286.2,-68.8,false,false,false,false,false,2,-1,,false,false,false,false,,R
