side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Batting,2026091006,2026091006#1,1,1,TOP,0-0,0,sota2486,Pen4,高速スライダー,113.3,0.0,1.3,25,false,0.8,-0.6,false,false,false,BALL,,,,,
Batting,2026091006,2026091006#1,2,1,TOP,1-0,0,sota2486,Pen4,ライズボール,116.8,2.2,0.0,13,true,0.2,1.0,false,false,false,CALLED_STRIKE,,,,,
Batting,2026091006,2026091006#1,3,1,TOP,1-1,0,sota2486,Pen4,サークルチェンジ,107.2,0.3,-1.0,22,false,-0.5,0.3,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091006,2026091006#1,4,1,TOP,1-2,0,sota2486,Pen4,ライズボール,117.6,2.2,0.0,19,true,0.3,0.6,true,false,true,IN_PLAY,194.3,-4.0,15.6,36.3,GROUND_OUT
Pitching,2026091006,2026091006#4,1,1,TOP,0-0,1,Pen4,Alpha6000,Fast,108.5,0.1,0.0,22,false,-0.4,-0.5,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#4,2,1,TOP,1-0,1,Pen4,Alpha6000,Sinker,108.6,0.0,0.0,10,false,1.3,1.3,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091006,2026091006#4,3,1,TOP,1-1,1,Pen4,Alpha6000,Sinker,107.6,0.1,0.0,11,false,-1.0,1.1,true,false,true,FOUL,119.0,35.9,-79.3,9.7,
Pitching,2026091006,2026091006#4,4,1,TOP,1-2,1,Pen4,Alpha6000,Fork,107.3,0.1,0.0,13,true,-0.1,1.0,true,false,true,FOUL,115.4,47.9,-85.6,11.4,
Pitching,2026091006,2026091006#4,5,1,TOP,1-2,1,Pen4,Alpha6000,Curve,110.0,0.2,0.0,17,true,-0.3,0.8,true,false,true,IN_PLAY,198.6,27.1,-29.1,106.6,HOME_RUN
Pitching,2026091006,2026091006#5,1,1,TOP,0-0,1,Pen4,Alpha6000,シンカー,96.2,-2.5,-2.4,21,false,-1.7,-2.8,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#5,2,1,TOP,1-0,1,Pen4,Alpha6000,シンカー,97.6,-3.2,-2.7,21,false,-1.6,-0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091006,2026091006#5,3,1,TOP,1-1,1,Pen4,Alpha6000,フォーク,107.6,-1.7,0.0,14,true,0.3,1.0,true,false,true,IN_PLAY,181.3,28.8,-16.3,116.0,HOME_RUN
Pitching,2026091006,2026091006#6,1,1,TOP,0-0,1,Pen4,Alpha6000,チェンジオブペース,85.8,1.9,0.0,3,false,-0.1,1.8,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091006,2026091006#6,2,1,TOP,0-1,1,Pen4,Alpha6000,シンカー,95.8,-3.2,-2.8,21,false,-0.8,-1.8,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#6,3,1,TOP,1-1,1,Pen4,Alpha6000,ファストボール,124.8,0.9,0.0,8,true,0.0,1.5,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091006,2026091006#6,4,1,TOP,1-2,1,Pen4,Alpha6000,チェンジオブペース,86.6,1.9,0.0,18,true,-0.1,0.7,true,false,true,IN_PLAY,181.1,36.5,-25.1,107.3,HOME_RUN
Pitching,2026091006,2026091006#7,1,1,TOP,0-0,1,Pen4,Alpha6000,チェンジオブペース,86.4,1.9,0.0,2,false,-0.5,1.8,true,false,true,FOUL,130.3,37.7,-64.2,10.8,
Pitching,2026091006,2026091006#7,2,1,TOP,0-1,1,Pen4,Alpha6000,フォーク,108.0,-1.9,0.0,22,false,-0.2,-0.4,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#7,3,1,TOP,1-1,1,Pen4,Alpha6000,ファストボール,122.8,0.9,0.0,18,true,0.1,0.5,true,false,true,FOUL,77.1,35.7,-117.4,8.9,STRIKE_OUT
Pitching,2026091006,2026091006#8,1,1,TOP,1-2,1,Pen4,Alpha6000,チェンジオブペース,86.0,1.9,0.0,24,false,0.3,0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091006,2026091006#8,2,1,TOP,0-0,2,Pen4,Alpha6000,シンカー,98.1,-2.4,-2.4,21,false,-0.9,-2.5,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#8,3,1,TOP,1-0,2,Pen4,Alpha6000,シンカー,97.0,-3.2,-2.8,21,false,-0.9,-1.3,false,false,false,BALL,,,,,
Pitching,2026091006,2026091006#8,4,1,TOP,2-0,2,Pen4,Alpha6000,シンカー,97.0,-3.4,-2.9,20,false,0.8,0.9,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091006,2026091006#8,5,1,TOP,2-1,2,Pen4,Alpha6000,チェンジオブペース,85.5,1.9,0.0,2,false,-0.2,1.8,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091006,2026091006#8,6,1,TOP,2-2,2,Pen4,Alpha6000,フォーク,108.3,-1.7,0.0,24,false,0.3,0.4,true,false,true,IN_PLAY,194.8,23.9,-9.4,123.0,HOME_RUN
Pitching,2026091006,2026091006#9,1,1,TOP,0-0,2,Pen4,Alpha6000,シンカー,97.3,-3.3,-2.8,24,false,0.4,0.5,true,false,true,FOUL,103.8,23.9,-86.1,8.1,
Pitching,2026091006,2026091006#9,2,1,TOP,0-1,2,Pen4,Alpha6000,シンカー,96.5,-3.4,-2.9,23,false,-0.1,0.4,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091006,2026091006#9,3,1,TOP,0-2,2,Pen4,Alpha6000,チェンジオブペース,87.3,1.8,0.0,8,true,-0.2,1.4,true,false,true,FOUL,129.5,44.3,-62.2,10.3,
Pitching,2026091006,2026091006#9,4,1,TOP,0-2,2,Pen4,Alpha6000,ファストボール,125.1,0.9,0.0,17,true,-0.2,0.6,true,false,true,FOUL,114.2,34.1,-77.7,9.7,
Pitching,2026091006,2026091006#9,5,1,TOP,0-2,2,Pen4,Alpha6000,フォーク,108.6,-1.7,0.0,21,false,-0.6,-0.7,true,false,true,IN_PLAY,178.0,2.7,-30.1,66.2,SINGLE
Batting,,#1,1,1,BOTTOM,0-0,0,sota2486,Pen4,高速スライダー,114.0,0.1,1.2,25,false,1.0,-0.9,false,false,false,BALL,,,,,
Batting,,#1,2,1,BOTTOM,1-0,0,sota2486,Pen4,ライズボール,116.8,2.2,0.0,3,false,0.0,2.1,true,false,true,FOUL,82.9,67.3,84.5,17.3,
Batting,,#1,3,1,BOTTOM,1-1,0,sota2486,Pen4,サークルチェンジ,107.9,0.3,-1.0,11,false,-0.6,1.1,true,true,false,SWINGING_STRIKE,,,,,
Batting,,#1,4,1,BOTTOM,1-2,0,sota2486,Pen4,超高速シンカー,113.9,-1.1,-1.2,22,false,-0.5,0.0,true,false,true,IN_PLAY,179.3,-40.2,2.8,40.8,GROUND_OUT
Batting,,#3,1,1,BOTTOM,0-0,1,sota2486,Pen4,Ball,107.0,0.1,0.0,23,false,0.0,0.0,true,false,true,FOUL,63.3,-61.3,130.3,7.1,
Batting,,#3,2,1,BOTTOM,0-1,1,sota2486,Pen4,サークルチェンジ,107.8,0.3,-1.1,11,false,-0.9,1.2,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT
Batting,,#4,1,1,BOTTOM,0-2,1,sota2486,Pen4,ライズボール,117.5,2.2,0.0,14,true,0.3,1.1,true,false,true,FOUL,64.7,31.7,105.4,8.4,
Batting,,#4,2,1,BOTTOM,0-1,2,sota2486,Pen4,サークルチェンジ,107.1,0.3,-1.0,21,false,-1.1,0.1,false,false,false,BALL,,,,,
Batting,,#4,3,1,BOTTOM,1-1,2,sota2486,Pen4,ライズボール,116.1,2.2,0.0,2,false,-0.4,2.1,false,false,false,BALL,,,,,
Batting,,#4,4,1,BOTTOM,2-1,2,sota2486,Pen4,高速スライダー,114.1,0.0,1.3,13,true,0.0,0.9,true,true,false,CALLED_STRIKE,,,,,STRIKE_OUT
Batting,2026091101,2026091101#5,1,1,BOTTOM,0-0,0,,Pen4,L,高速スライダー,121.0,-0.1,1.2,19,true,0.4,0.8,true,true,false,CALLED_STRIKE,,,,,
Batting,2026091101,2026091101#5,2,1,BOTTOM,0-1,0,,Pen4,L,フォーク,115.2,-1.5,0.0,23,false,-0.1,0.4,true,false,true,IN_PLAY,199.0,-3.2,8.0,58.9,DOUBLE
Batting,2026091101,2026091101#8,1,1,BOTTOM,0-0,2,,Pen4,L,高速スライダー,121.0,-0.1,1.2,25,false,0.9,0.1,false,false,false,BALL,,,,,
Batting,2026091101,2026091101#8,2,1,BOTTOM,1-0,2,,Pen4,L,フォーク,115.2,-1.6,0.0,23,false,0.1,0.3,true,false,true,IN_PLAY,183.1,0.4,23.0,62.3,SINGLE
Batting,2026091102,2026091102#1,1,1,TOP,0-0,0,,Pen4,L,高速スライダー,121.0,-0.1,1.2,19,true,0.4,0.6,false,false,false,CALLED_STRIKE,,,,,
Batting,2026091102,2026091102#1,2,1,TOP,0-1,0,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.4,0.8,true,false,true,IN_PLAY,156.0,46.0,27.9,90.1,FLY_OUT
Batting,2026091102,2026091102#2,1,1,TOP,0-0,1,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.1,1.3,true,false,true,IN_PLAY,124.1,71.1,18.7,30.5,FLY_OUT
Batting,2026091102,2026091102#3,1,1,TOP,0-0,2,,Pen4,L,SFF,115.2,-0.6,0.0,23,false,-0.1,0.2,false,false,false,BALL,,,,,
Batting,2026091102,2026091102#3,2,1,TOP,1-0,2,,Pen4,L,フォーク,115.2,-1.6,0.0,24,false,0.3,-0.1,false,false,false,BALL,,,,,
Batting,2026091102,2026091102#3,3,1,TOP,2-0,2,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.3,0.6,true,false,true,FOUL,57.9,34.5,139.9,8.3,
Batting,2026091102,2026091102#3,4,1,TOP,2-1,2,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.0,1.0,true,false,true,IN_PLAY,111.6,-57.2,-42.0,19.7,GROUND_OUT
Batting,2026091103,2026091103#1,1,1,TOP,0-0,0,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.1,1.2,true,true,false,CALLED_STRIKE,,,,,
Batting,2026091103,2026091103#1,2,1,TOP,0-1,0,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.0,1.1,true,false,true,IN_PLAY,152.8,56.6,20.4,72.0,FLY_OUT
Batting,2026091103,2026091103#2,1,1,TOP,0-0,1,,Pen4,L,高速スライダー,121.0,-0.1,1.2,25,false,0.8,0.1,false,false,false,BALL,,,,,
Batting,2026091103,2026091103#2,2,1,TOP,1-0,1,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.0,1.1,true,false,true,IN_PLAY,154.1,56.8,0.0,72.9,FLY_OUT
Batting,2026091103,2026091103#7,1,2,TOP,0-0,0,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.4,0.9,true,false,true,FOUL,81.3,3.8,96.6,7.9,
Batting,2026091103,2026091103#7,2,2,TOP,0-1,0,,Pen4,L,高速スライダー,121.0,0.0,1.1,25,false,0.7,0.1,true,false,true,IN_PLAY,184.5,-3.8,20.3,33.6,GROUND_OUT
Batting,2026091103,2026091103#8,1,2,TOP,0-0,1,,Pen4,R,ライズボール,124.4,2.0,0.0,13,true,0.1,1.3,false,false,false,CALLED_STRIKE,,,,,
Batting,2026091103,2026091103#8,2,2,TOP,0-1,1,,Pen4,R,フォーク,115.2,-1.6,0.0,23,false,-0.1,0.1,false,false,false,BALL,,,,,
Batting,2026091103,2026091103#8,3,2,TOP,1-1,1,,Pen4,R,SFF,115.2,-0.6,0.0,23,false,0.0,0.5,true,false,true,IN_PLAY,165.0,47.7,-41.4,98.7,DOUBLE
Batting,2026091103,2026091103#9,1,2,TOP,0-0,1,,Pen4,R,フォーク,115.2,-1.6,0.0,23,false,0.0,0.2,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091103,2026091103#9,2,2,TOP,0-1,1,,Pen4,R,SFF,115.2,-0.6,0.0,23,false,-0.1,0.1,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091103,2026091103#9,3,2,TOP,0-2,1,,Pen4,R,SFF,115.2,-0.6,0.0,23,false,0.0,0.0,false,false,false,BALL,,,,,
Batting,2026091103,2026091103#9,4,2,TOP,1-2,1,,Pen4,R,高速スライダー,121.0,0.1,1.1,19,true,0.3,0.8,true,false,true,IN_PLAY,185.9,7.2,-6.5,75.7,SINGLE
Batting,2026091103,2026091103#10,1,2,TOP,0-0,1,,Pen4,L,高速スライダー,121.0,-0.1,1.2,19,true,0.3,0.7,true,true,false,CALLED_STRIKE,,,,,
Batting,2026091103,2026091103#10,2,2,TOP,0-1,1,,Pen4,L,ライズボール,124.4,2.0,0.0,8,true,0.0,1.3,true,false,true,IN_PLAY,229.4,8.0,-2.3,84.9,SINGLE
Batting,2026091103,2026091103#11,1,2,TOP,0-0,2,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.4,0.7,true,false,true,FOUL,90.2,11.5,98.2,7.6,
Batting,2026091103,2026091103#11,2,2,TOP,0-1,2,,Pen4,L,高速スライダー,121.0,-0.1,1.2,19,true,0.3,0.8,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091103,2026091103#11,3,2,TOP,0-2,2,,Pen4,L,高速スライダー,121.0,0.0,1.1,25,false,0.8,0.3,true,false,true,IN_PLAY,179.1,3.2,12.7,75.9,SINGLE
Batting,2026091103,2026091103#12,1,2,TOP,0-0,2,,Pen4,R,高速スライダー,121.0,0.1,1.1,14,true,0.3,0.9,true,false,true,IN_PLAY,159.0,12.2,-1.9,82.2,FLY_OUT
Batting,2026091104,2026091104#1,1,1,TOP,0-0,0,,Pen4,L,フォーク,115.2,-1.6,0.0,23,false,0.0,0.2,false,false,false,BALL,,,,,
Batting,2026091104,2026091104#1,2,1,TOP,1-0,0,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.0,1.2,true,false,true,FOUL,104.8,50.5,-68.7,11.7,
Batting,2026091104,2026091104#1,3,1,TOP,1-1,0,,Pen4,L,SFF,115.2,-0.6,0.0,23,false,0.0,0.4,true,false,true,IN_PLAY,221.3,20.8,13.7,120.1,HOME_RUN
Batting,2026091104,2026091104#2,1,1,TOP,0-0,0,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.4,0.7,true,false,true,FOUL,141.6,27.1,65.1,8.7,
Batting,2026091104,2026091104#2,2,1,TOP,0-1,0,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.1,1.1,true,false,true,IN_PLAY,175.0,41.4,20.2,110.7,HOME_RUN
Batting,2026091104,2026091104#3,1,1,TOP,0-0,0,,Pen4,R,フォーク,115.2,-1.4,0.0,23,false,-0.1,0.3,true,false,true,IN_PLAY,168.2,-0.5,-14.0,39.0,GROUND_OUT
Batting,2026091104,2026091104#4,1,1,TOP,0-0,1,,Pen4,L,高速スライダー,121.0,0.0,1.2,19,true,0.3,0.6,true,false,true,FOUL,132.5,22.8,67.2,8.0,
Batting,2026091104,2026091104#4,2,1,TOP,0-1,1,,Pen4,L,SFF,115.2,-0.6,0.0,24,false,0.4,-0.3,false,false,false,BALL,,,,,
Batting,2026091104,2026091104#4,3,1,TOP,1-1,1,,Pen4,L,ライズボール,124.4,2.0,0.0,13,true,0.1,1.0,true,false,true,FOUL,151.5,42.7,56.3,15.0,STRIKE_OUT
Batting,2026091104,2026091104#5,1,1,TOP,1-2,1,,Pen4,L,SFF,115.2,-0.6,0.0,23,false,0.0,0.2,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091104,2026091104#5,2,1,TOP,0-0,2,,Pen4,L,高速スライダー,121.0,0.0,1.2,25,false,0.7,0.1,true,false,true,FOUL,115.4,-2.3,82.4,7.1,
