game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,1,TOP,2026091201#2,run,Pen4,64,64,125.7,24.0,75.1,15-30/125-150,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FLY,,R
2026091201,1,BOTTOM,,spot,Pen4,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,1,BOTTOM,2026091201#4,field,Pen4,13,-1,163.0,4.2,27.4,0-15/150-175,,,,,PITCHER,,286.4,-85.4,290.1,-93.5,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,1,BOTTOM,2026091201#7,field,Pen4,2,39,172.7,-15.5,2.5,LT0/150-175,,,,,PITCHER,,284.2,-85.0,285.1,-69.0,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091201,2,BOTTOM,,spot,Pen4,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,2,BOTTOM,2026091201#12,field,Pen4,2,40,167.5,-20.4,3.3,LT0/150-175,,,,,PITCHER,,286.4,-85.4,285.6,-69.8,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,2,BOTTOM,2026091201#16,field,Pen4,29,58,64.6,23.4,21.0,15-30/LT100,,,,,PITCHER,,286.0,-85.6,284.7,-87.5,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,3,TOP,2026091201#17,run,Pen4,87,87,119.9,50.7,55.8,45+/100-125,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FLY,,R
2026091201,3,TOP,2026091201#21,run,Pen4,2,61,146.9,-50.6,0.6,LT0/125-150,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,3,BOTTOM,,spot,Pen4,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,,spot,Pen4,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,2026091201#29,field,Pen4,3,38,117.0,-14.6,3.6,LT0/100-125,,,,,PITCHER,,285.6,-85.8,284.5,-70.0,false,false,false,false,false,0,-1,,true,false,false,false,,R
2026091202,1,TOP,2026091202#2,run,Pen4,28,138,169.6,11.4,54.6,0-15/150-175,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
