side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Batting,2026091101,2026091101#1,1,1,TOP,0-0,0,sota2486,Rosario20,R,サークルチェンジ,109.5,0.3,-1.0,18,true,0.1,0.8,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091101,2026091101#1,2,1,TOP,0-1,0,sota2486,Rosario20,R,ライズボール,115.3,2.3,0.0,19,true,0.5,0.6,false,false,false,CALLED_STRIKE,,,,,
Batting,2026091101,2026091101#1,3,1,TOP,0-2,0,sota2486,Rosario20,R,高速スライダー,115.0,0.1,1.2,14,true,0.6,0.9,true,false,true,IN_PLAY,146.9,22.9,36.7,102.1,SINGLE
Batting,2026091101,2026091101#2,1,1,TOP,0-0,0,sota2486,Rosario20,R,超高速シンカー,113.5,-1.2,-1.4,23,false,-0.2,0.4,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091101,2026091101#2,2,1,TOP,0-1,0,sota2486,Rosario20,R,ライズボール,116.7,2.3,0.0,19,true,0.5,0.5,true,false,true,FOUL,47.1,-27.1,124.7,7.1,STRIKE_OUT
Batting,2026091101,2026091101#3,1,1,TOP,0-2,0,sota2486,Rosario20,R,高速スライダー,111.5,0.0,1.4,25,false,0.9,-0.3,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091101,2026091101#3,2,1,TOP,0-0,1,sota2486,Rosario20,R,ライズボール,115.6,2.3,0.0,14,true,0.2,1.2,true,false,true,FOUL,118.3,51.8,-64.3,13.4,
Batting,2026091101,2026091101#3,3,1,TOP,0-1,1,sota2486,Rosario20,R,サークルチェンジ,106.7,0.3,-1.1,22,false,-0.2,0.3,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091101,2026091101#3,4,1,TOP,0-2,1,sota2486,Rosario20,R,ライズボール,116.1,2.2,0.0,18,true,0.1,0.7,true,false,true,FOUL,82.5,48.3,-99.4,11.0,STRIKE_OUT
Batting,2026091101,2026091101#4,1,1,TOP,0-2,1,sota2486,Rosario20,R,サークルチェンジ,109.3,0.4,-1.0,23,false,-0.1,0.4,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091101,2026091101#4,2,1,TOP,0-0,2,sota2486,Rosario20,R,ライズボール,116.8,2.2,0.0,13,true,0.1,0.9,true,false,true,FOUL,91.7,50.3,-91.5,11.7,
Batting,2026091101,2026091101#4,3,1,TOP,0-1,2,sota2486,Rosario20,R,サークルチェンジ,107.7,0.5,-1.0,22,false,-0.3,0.2,true,false,true,IN_PLAY,196.2,-2.7,-20.9,35.4,GROUND_OUT
Pitching,2026091101,2026091101#6,1,1,BOTTOM,0-0,1,Rosario20,sota2486,R,Ball,108.9,0.0,0.0,3,false,0.0,2.2,false,false,false,BALL,,,,,
Pitching,2026091101,2026091101#6,2,1,BOTTOM,1-0,1,Rosario20,sota2486,R,Ball,108.1,0.1,0.0,13,true,0.0,1.1,true,false,true,IN_PLAY,213.2,-6.3,-10.9,34.2,GROUND_OUT
Pitching,2026091101,2026091101#7,1,1,BOTTOM,0-0,2,Rosario20,sota2486,R,ライズボール,115.9,2.2,0.0,1,false,-0.7,1.8,true,false,true,FOUL,122.0,42.4,-54.0,21.5,
Pitching,2026091101,2026091101#7,2,1,BOTTOM,0-1,2,Rosario20,sota2486,R,サークルチェンジ,108.3,0.3,-1.0,21,false,-1.4,0.3,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091101,2026091101#7,3,1,BOTTOM,0-2,2,Rosario20,sota2486,R,ライズボール,115.9,2.2,0.0,2,false,-0.2,2.6,true,false,true,IN_PLAY,167.5,14.7,-9.6,115.8,SINGLE
Pitching,2026091101,2026091101#9,1,1,BOTTOM,0-0,2,Rosario20,sota2486,R,ライズボール,116.3,2.3,0.0,7,true,-0.4,1.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091101,2026091101#9,2,1,BOTTOM,0-1,2,Rosario20,sota2486,R,超高速シンカー,113.6,-1.2,-1.3,22,false,-0.6,-0.4,false,false,false,BALL,,,,,
Pitching,2026091101,2026091101#9,3,1,BOTTOM,1-1,2,Rosario20,sota2486,R,ライズボール,117.5,2.3,0.0,11,false,-0.8,1.0,false,false,false,BALL,,,,,
Pitching,2026091101,2026091101#9,4,1,BOTTOM,2-1,2,Rosario20,sota2486,R,ライズボール,117.2,2.3,0.0,13,true,0.0,1.3,true,false,true,IN_PLAY,207.1,26.1,2.4,150.4,HOME_RUN
