side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Batting,2026091201,2026091201#1,1,1,TOP,0-0,0,syobonnkun,TYPE_NOOB,R,スラーブ,81.9,0.5,2.1,20,false,1.1,0.8,false,false,false,BALL,,,,,,R,,,101.4
Batting,2026091201,2026091201#1,2,1,TOP,1-0,0,syobonnkun,TYPE_NOOB,R,ツーシームファスト,118.3,0.9,-0.7,5,false,0.7,2.4,false,false,false,BALL,,,,,,R,,,119.4
Batting,2026091201,2026091201#1,3,1,TOP,2-0,0,syobonnkun,TYPE_NOOB,R,サークルチェンジ,65.0,0.6,-0.8,13,true,0.1,1.2,true,false,true,IN_PLAY,146.0,35.0,-10.9,94.1,FLY_OUT,R,,,107.4
Batting,2026091201,2026091201#11,1,2,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,65.9,0.4,-0.9,18,true,0.1,0.9,false,false,false,CALLED_STRIKE,,,,,,R,,,108.9
Batting,2026091201,2026091201#11,2,2,TOP,0-1,2,syobonnkun,TYPE_NOOB,R,SFF,107.8,-0.6,0.0,3,false,0.1,2.7,true,true,false,SWINGING_STRIKE,,,,,,R,,,107.9
Batting,2026091201,2026091201#11,3,2,TOP,0-2,2,syobonnkun,TYPE_NOOB,R,スラーブ,85.3,0.3,2.2,20,false,1.9,0.7,false,false,false,BALL,,,,,,R,,,103.4
Batting,2026091201,2026091201#11,4,2,TOP,1-2,2,syobonnkun,TYPE_NOOB,R,スラーブ,84.2,-1.4,2.8,25,false,1.2,0.1,false,false,false,BALL,,,,,,R,,,102.1
Batting,2026091201,2026091201#11,5,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,SFF,106.6,-0.5,0.0,15,false,0.6,1.3,true,false,true,FOUL,81.0,45.3,-122.1,11.1,,R,,,106.7
Batting,2026091201,2026091201#11,6,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,64.3,0.4,-1.0,8,true,0.0,1.3,true,false,true,FOUL,128.5,66.3,-58.0,34.2,,R,,,106.3
Batting,2026091201,2026091201#11,7,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,ツーシームファスト,118.9,0.8,-0.7,23,false,0.1,0.3,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,R,,,120.0
Batting,2026091201,2026091201#20,1,3,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,SFF,107.2,-0.6,0.0,4,false,0.3,3.1,false,false,false,BALL,,,,,,R,,,107.3
Batting,2026091201,2026091201#20,2,3,TOP,1-0,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,64.8,0.6,-0.9,6,false,-0.8,1.5,true,false,true,IN_PLAY,156.6,33.9,-23.3,114.9,DOUBLE,R,,,107.0
Batting,2026091201,2026091201#28,1,4,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,スラーブ,85.5,0.7,2.0,20,false,0.8,0.8,false,false,false,BALL,,,,,,R,,,103.7
Batting,2026091201,2026091201#28,2,4,TOP,1-0,2,syobonnkun,TYPE_NOOB,R,スラーブ,84.2,-0.6,2.5,24,false,0.6,0.4,false,false,false,BALL,,,,,,R,,,102.1
Batting,2026091201,2026091201#28,3,4,TOP,2-0,2,syobonnkun,TYPE_NOOB,R,ツーシームファスト,121.4,0.8,-0.7,10,false,0.7,1.5,false,false,false,BALL,,,,,,R,,,122.5
Batting,2026091201,2026091201#28,4,4,TOP,3-0,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,64.9,0.3,-0.9,18,true,-0.1,0.8,true,true,false,SWINGING_STRIKE,,,,,,R,,,107.2
Batting,2026091201,2026091201#28,5,4,TOP,3-1,2,syobonnkun,TYPE_NOOB,R,SFF,108.0,-0.5,0.0,19,true,0.3,0.6,true,false,true,FOUL,132.1,76.6,-56.6,41.9,,R,,,108.1
Batting,2026091201,2026091201#28,6,4,TOP,3-2,2,syobonnkun,TYPE_NOOB,R,SFF,108.2,-0.6,0.0,8,true,0.1,1.4,true,true,false,CALLED_STRIKE,,,,,STRIKE_OUT,R,,,108.3
Batting,2026091201,2026091201#38,1,5,TOP,0-0,1,syobonnkun,TYPE_NOOB,R,SFF,108.7,-0.6,0.0,19,true,0.3,0.7,true,true,false,SWINGING_STRIKE,,,,,,R,,,108.8
Batting,2026091201,2026091201#38,2,5,TOP,0-1,1,syobonnkun,TYPE_NOOB,R,サークルチェンジ,66.0,0.6,-0.7,8,true,0.1,1.5,true,false,true,IN_PLAY,157.3,27.8,-24.7,108.4,DOUBLE,R,,,109.0
Batting,2026091202,2026091202#5,1,1,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,ツーシームファスト,120.1,1.2,-0.6,23,false,0.2,0.1,false,false,false,BALL,,,,,,R,,,121.2
Batting,2026091202,2026091202#5,2,1,TOP,1-0,2,syobonnkun,TYPE_NOOB,R,SFF,108.8,-0.6,0.0,4,false,0.3,2.6,false,false,false,BALL,,,,,,R,,,108.9
Batting,2026091202,2026091202#5,3,1,TOP,2-0,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,65.1,0.3,-0.9,8,true,0.1,1.5,true,true,false,SWINGING_STRIKE,,,,,,R,,,107.5
Batting,2026091202,2026091202#5,4,1,TOP,2-1,2,syobonnkun,TYPE_NOOB,R,高速スラーブ,93.4,-1.2,1.7,18,true,0.1,0.5,true,false,true,IN_PLAY,204.8,28.3,-14.9,151.8,HOME_RUN,R,,,109.0
Batting,2026091202,2026091202#14,1,2,TOP,0-0,1,gaifukaisei,TYPE_NOOB,R,ファストボール,123.7,0.8,0.0,3,false,-0.1,1.9,false,false,false,BALL,,,,,,L,,,125.0
Batting,2026091202,2026091202#14,2,2,TOP,1-0,1,gaifukaisei,TYPE_NOOB,R,シンカー,75.4,0.4,1.7,15,false,0.7,1.1,false,false,false,BALL,,,,,,L,,,96.6
Batting,2026091202,2026091202#14,3,2,TOP,2-0,1,gaifukaisei,TYPE_NOOB,R,スライダー,99.5,-0.4,-1.7,21,false,-0.7,0.1,false,false,false,BALL,,,,,,L,,,108.9
