side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Batting,2026091201,2026091201#35,1,5,TOP,0-0,0,syobonnkun,gaifukaisei,L,ツーシームファスト,119.8,0.8,-0.7,3,false,-0.1,1.8,false,false,false,BALL,,,,,,R,,,120.9
Batting,2026091201,2026091201#35,2,5,TOP,1-0,0,syobonnkun,gaifukaisei,L,サークルチェンジ,64.6,0.3,-0.9,17,true,-0.3,0.7,false,false,false,CALLED_STRIKE,,,,,,R,,,106.8
Batting,2026091201,2026091201#35,3,5,TOP,1-1,0,syobonnkun,gaifukaisei,L,SFF,106.2,0.1,0.0,23,false,0.0,0.3,false,false,false,BALL,,,,,,R,,,106.3
Batting,2026091201,2026091201#35,4,5,TOP,2-1,0,syobonnkun,gaifukaisei,L,スラーブ,84.8,-1.3,2.6,24,false,0.4,0.0,false,false,false,BALL,,,,,,R,,,102.8
Batting,2026091201,2026091201#35,5,5,TOP,3-1,0,syobonnkun,gaifukaisei,L,ツーシームファスト,120.2,0.8,-0.7,17,true,-0.4,0.9,false,false,false,CALLED_STRIKE,,,,,,R,,,121.3
Batting,2026091201,2026091201#35,6,5,TOP,3-2,0,syobonnkun,gaifukaisei,L,サークルチェンジ,65.7,0.4,-0.9,7,true,-0.2,1.4,true,false,true,CALLED_STRIKE,169.4,37.2,-0.1,114.6,DOUBLE,R,,,108.5
Batting,2026091201,2026091201#39,1,5,TOP,0-0,1,syobonnkun,gaifukaisei,L,スラーブ,85.6,-0.4,2.3,25,false,1.1,0.5,false,false,false,BALL,,,,,,R,,,103.8
Batting,2026091201,2026091201#39,2,5,TOP,1-0,1,syobonnkun,gaifukaisei,L,スラーブ,84.9,-0.2,2.3,17,true,-0.4,0.5,false,false,false,BALL,,,,,,R,,,102.9
Batting,2026091201,2026091201#39,3,5,TOP,2-0,1,syobonnkun,gaifukaisei,L,スラーブ,84.3,-1.5,2.8,12,true,-0.2,1.0,true,false,true,IN_PLAY,170.0,21.5,-3.3,113.4,DOUBLE,R,,,102.2
Batting,2026091202,2026091202#10,1,1,BOTTOM,0-0,1,sota2486,gaifukaisei,L,ライズボール,121.9,1.9,0.0,23,false,0.1,0.4,false,false,false,BALL,,,,,,R,,,118.5
Batting,2026091202,2026091202#10,2,1,BOTTOM,1-0,1,sota2486,gaifukaisei,L,高速スライダー,107.1,0.9,1.0,23,false,0.1,0.4,false,false,false,BALL,,,,,,R,,,112.2
Batting,2026091202,2026091202#10,3,1,BOTTOM,2-0,1,sota2486,gaifukaisei,L,ライズボール,119.7,2.0,0.0,19,true,0.3,0.6,false,false,false,CALLED_STRIKE,,,,,,R,,,116.3
