side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws
Batting,2026091201,2026091201#3,1,1,TOP,0-0,2,syobonnkun,hachi_18,R,SFF,107.3,-0.6,0.0,3,false,0.2,2.0,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#3,2,1,TOP,0-1,2,syobonnkun,hachi_18,R,ツーシームファスト,120.5,0.8,-0.7,13,true,-0.2,1.1,false,false,false,CALLED_STRIKE,,,,,STRIKE_OUT,R
Batting,2026091201,2026091201#4,1,1,TOP,0-2,2,syobonnkun,hachi_18,R,サークルチェンジ,107.9,0.4,-0.9,22,false,-0.4,0.0,true,true,false,SWINGING_STRIKE,,,,,,R
Batting,2026091201,2026091201#9,2,2,TOP,0-0,0,syobonnkun,hachi_18,R,SFF,108.3,-0.6,0.0,3,false,0.2,2.6,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#9,3,2,TOP,1-0,0,syobonnkun,hachi_18,R,スラーブ,102.6,0.7,2.0,20,false,0.7,0.9,false,false,false,BALL,,,,,,R
Batting,2026091201,2026091201#9,4,2,TOP,2-0,0,syobonnkun,hachi_18,R,ツーシームファスト,120.0,0.9,-0.7,17,true,-0.3,0.7,true,true,false,CALLED_STRIKE,,,,,,R
Batting,2026091201,2026091201#9,5,2,TOP,2-1,0,syobonnkun,hachi_18,R,サークルチェンジ,108.2,0.3,-0.9,8,true,-0.1,1.4,false,false,false,CALLED_STRIKE,,,,,,R
Batting,2026091201,2026091201#9,6,2,TOP,2-2,0,syobonnkun,hachi_18,R,SFF,107.8,-0.6,0.0,13,true,0.1,1.2,true,false,true,FOUL,54.6,26.0,92.7,7.8,STRIKE_OUT,R
Batting,2026091201,2026091201#10,1,2,TOP,2-2,0,syobonnkun,hachi_18,R,ツーシームファスト,121.0,0.8,-0.7,13,true,0.1,1.1,true,true,false,CALLED_STRIKE,,,,,,R
Batting,2026091201,2026091201#18,1,3,TOP,0-0,1,syobonnkun,hachi_18,R,サークルチェンジ,107.9,0.4,-0.9,14,true,0.3,1.1,true,false,true,IN_PLAY,158.1,12.0,8.8,92.0,SINGLE,R
