game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,1,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091201,1,BOTTOM,2026091201#4,field,hachi_18,13,-1,163.0,4.2,27.4,0-15/150-175,,,,,SECOND_BASEMAN,,295.9,-104.7,290.1,-93.5,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,2,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,2026091201#18,run,hachi_18,30,113,158.1,12.0,55.9,0-15/150-175,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,3,TOP,2026091201#19,run,hachi_18,2,57,121.9,-11.8,2.9,LT0/100-125,1,1,true,0.00,,,,,,,,,,,,,,,false,,,FORCE,,R
2026091201,3,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091201,3,BOTTOM,2026091201#23,field,hachi_18,40,180,175.8,13.6,79.0,0-15/175-200,,,,,SECOND_BASEMAN,2,291.7,-104.9,268.7,-143.7,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091201,4,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,2026091201#29,field,hachi_18,3,38,117.0,-14.6,3.6,LT0/100-125,,,,,SECOND_BASEMAN,,294.5,-103.6,284.5,-70.0,false,false,false,false,false,0,-1,,true,false,false,false,,R
2026091201,4,BOTTOM,2026091201#33,field,hachi_18,48,562,157.0,20.7,77.2,15-30/150-175,,,,,SECOND_BASEMAN,,293.6,-104.8,334.0,-126.5,false,false,true,false,false,2,-1,138.1,false,true,false,false,,R
2026091202,1,TOP,2026091202#8,run,hachi_18,31,154,164.2,11.4,58.4,0-15/150-175,0,2,false,1.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,2,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,3,TOP,2026091202#21,run,hachi_18,2,53,131.6,-45.1,2.2,LT0/125-150,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FORCE,,R
2026091202,3,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,4,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,4,BOTTOM,2026091202#33,field,hachi_18,11,89,208.3,1.6,29.1,0-15/200+,,,,,SECOND_BASEMAN,,295.9,-101.9,289.9,-95.3,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091202,5,TOP,2026091202#43,run,hachi_18,2,72,87.0,-56.9,0.4,LT0/LT100,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,5,BOTTOM,,spot,hachi_18,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,5,BOTTOM,2026091202#48,field,hachi_18,11,22,161.5,2.9,22.8,0-15/150-175,,,,,SECOND_BASEMAN,1,293.9,-101.7,290.5,-88.8,false,false,true,false,false,1,31,98.1,false,true,false,true,,R
