side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Batting,2026090909,2026090909#1,1,1,TOP,0-0,0,,nextbardo,スローシンカー,87.1,-3.6,-1.8,22,false,-0.3,0.5,true,false,true,IN_PLAY,157.0,62.7,2.3,62.5,FLY_OUT
Batting,2026090909,2026090909#2,1,1,TOP,0-0,1,,nextbardo,ファストボール,125.1,0.8,0.0,18,true,-0.1,0.9,true,true,false,CALLED_STRIKE,,,,,
Batting,2026090909,2026090909#2,2,1,TOP,0-1,1,,nextbardo,ファストボール,125.1,0.8,0.0,8,true,0.0,1.3,true,true,false,CALLED_STRIKE,,,,,
Batting,2026090909,2026090909#2,3,1,TOP,0-2,1,,nextbardo,ライズボール,117.5,2.1,0.0,13,true,-0.2,1.2,true,false,true,IN_PLAY,190.8,18.4,12.5,109.9,SINGLE
Batting,2026090909,2026090909#5,1,1,TOP,0-0,2,,nextbardo,スローシンカー,87.1,-3.5,-1.8,23,false,-0.2,-0.3,true,false,true,IN_PLAY,67.2,-69.0,109.6,5.3,GROUND_OUT
Batting,2026090909,2026090909#6,1,1,BOTTOM,0-0,0,,nextbardo,スローシンカー,87.1,-3.6,-1.8,22,false,-0.2,0.3,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026090909,2026090909#6,2,1,BOTTOM,0-1,0,,nextbardo,ライズボール,117.5,2.1,0.0,13,true,0.1,1.2,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026090909,2026090909#6,3,1,BOTTOM,0-2,0,,nextbardo,チェンジアップ,108.8,0.2,0.0,14,true,0.2,1.2,true,false,true,FOUL,109.1,9.3,71.6,8.4,
Batting,2026090909,2026090909#6,4,1,BOTTOM,0-2,0,,nextbardo,チェンジアップ,108.8,0.2,0.0,13,true,0.1,1.1,true,false,true,IN_PLAY,126.8,47.3,-22.4,64.2,FLY_OUT
Batting,2026090909,2026090909#8,1,1,BOTTOM,0-0,1,,nextbardo,スローシンカー,87.1,-3.7,-1.9,12,true,-0.2,0.9,true,false,true,IN_PLAY,145.1,47.2,-9.8,80.1,FLY_OUT
Batting,2026090909,2026090909#9,1,1,BOTTOM,0-0,2,,nextbardo,ファストボール,125.1,0.8,0.0,18,true,0.1,0.6,true,false,true,IN_PLAY,191.5,1.6,-13.9,35.9,GROUND_OUT
