side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Batting,2026091201,2026091201#5,1,1,BOTTOM,0-0,0,Pen4,sota2486,R,ツーシームファスト,120.6,0.9,-0.7,10,false,0.8,1.4,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#5,2,1,BOTTOM,1-0,0,Pen4,sota2486,R,ツーシームファスト,122.2,0.9,-0.7,8,true,0.0,1.7,true,false,true,IN_PLAY,179.2,34.5,-20.3,118.1,HOME_RUN
Batting,2026091201,2026091201#13,1,2,BOTTOM,0-0,0,Pen4,sota2486,R,SFF,108.6,1.4,0.0,20,false,1.2,0.8,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#13,2,2,BOTTOM,1-0,0,Pen4,sota2486,R,ツーシームファスト,119.6,0.9,-0.7,20,false,0.8,0.7,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#13,3,2,BOTTOM,2-0,0,Pen4,sota2486,R,ライズボール,117.4,2.1,0.0,23,false,0.0,0.4,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#13,4,2,BOTTOM,3-0,0,Pen4,sota2486,R,ツーシームファスト,122.6,0.8,-0.7,23,false,0.0,0.4,true,true,false,SWINGING_STRIKE,,,,,WALK
Batting,2026091201,2026091201#14,1,2,BOTTOM,3-1,0,Pen4,sota2486,R,SFF,108.5,0.7,0.0,19,true,0.5,0.6,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#23,2,3,BOTTOM,0-0,1,Pen4,sota2486,R,ツーシームファスト,120.8,0.9,-0.7,15,false,1.3,1.1,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#23,3,3,BOTTOM,1-0,1,Pen4,sota2486,R,ライズボール,117.2,2.0,0.0,24,false,0.3,0.4,false,false,false,BALL,,,,,
Batting,2026091201,2026091201#23,4,3,BOTTOM,2-0,1,Pen4,sota2486,R,ライズボール,117.0,2.1,0.0,4,false,0.2,2.0,true,false,true,IN_PLAY,175.8,13.6,-12.9,116.2,DOUBLE
Batting,2026091201,2026091201#31,2,4,BOTTOM,0-0,2,Pen4,sota2486,R,パワーカーブ,109.5,-1.9,1.3,25,false,1.3,0.5,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091201,2026091201#31,3,4,BOTTOM,0-1,2,Pen4,sota2486,R,SFF,107.5,-0.6,0.0,25,false,0.9,0.0,true,false,true,FOUL,42.8,-76.7,-158.9,0.6,
Batting,2026091201,2026091201#31,4,4,BOTTOM,0-2,2,Pen4,sota2486,R,ライズボール,116.8,2.2,0.0,10,false,1.0,1.4,true,false,true,IN_PLAY,165.3,42.1,33.5,101.8,HOME_RUN
Batting,2026091202,2026091202#1,1,1,TOP,0-0,0,syobonnkun,sota2486,R,ツーシームファスト,119.9,0.9,-0.7,18,true,0.1,0.6,true,false,true,FOUL,33.9,-8.4,-157.6,6.9,
Batting,2026091202,2026091202#1,2,1,TOP,0-1,0,syobonnkun,sota2486,R,サークルチェンジ,107.2,0.3,-1.0,2,false,-0.3,2.1,false,false,false,BALL,,,,,
Batting,2026091202,2026091202#1,3,1,TOP,1-1,0,syobonnkun,sota2486,R,SFF,108.6,-0.6,0.0,23,false,0.1,0.2,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT
Batting,2026091202,2026091202#2,1,1,TOP,1-2,0,syobonnkun,sota2486,R,高速スラーブ,109.1,-1.5,1.9,14,true,0.6,1.0,false,false,false,CALLED_STRIKE,,,,,
Batting,2026091202,2026091202#6,1,1,TOP,0-0,2,syobonnkun,sota2486,R,ツーシームファスト,120.2,0.9,-0.6,13,true,0.0,1.0,true,false,true,IN_PLAY,209.0,19.7,-9.5,119.0,HOME_RUN
Pitching,2026091202,2026091202#9,4,1,BOTTOM,0-0,0,sota2486,Alpha6000,R,ライズボール,116.6,2.2,0.0,24,false,0.5,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#9,5,1,BOTTOM,1-0,0,sota2486,Alpha6000,R,サークルチェンジ,108.7,0.3,-1.0,21,false,-0.8,0.2,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#9,6,1,BOTTOM,1-1,0,sota2486,Alpha6000,R,超高速シンカー,112.5,-1.1,-1.2,24,false,0.4,0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#9,7,1,BOTTOM,1-2,0,sota2486,Alpha6000,R,ライズボール,117.4,2.0,0.0,3,false,-0.2,3.2,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#9,8,1,BOTTOM,2-2,0,sota2486,Alpha6000,R,ライズボール,115.9,2.2,0.0,22,false,-0.2,0.0,false,false,false,BALL,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#10,1,1,BOTTOM,3-2,0,sota2486,Alpha6000,R,サークルチェンジ,106.9,0.3,-0.9,17,true,-0.5,0.6,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#10,2,1,BOTTOM,0-0,1,sota2486,gaifukaisei,R,ライズボール,118.5,1.9,0.0,23,false,0.1,0.4,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#10,3,1,BOTTOM,1-0,1,sota2486,gaifukaisei,R,高速スライダー,112.2,0.9,1.0,23,false,0.1,0.4,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#10,4,1,BOTTOM,2-0,1,sota2486,gaifukaisei,R,ライズボール,116.3,2.0,0.0,19,true,0.3,0.6,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#10,5,1,BOTTOM,2-1,1,sota2486,gaifukaisei,R,超高速シンカー,114.1,-1.1,-1.2,23,false,0.1,0.4,true,false,true,FOUL,52.8,-25.8,128.1,7.0,STRIKE_OUT
Pitching,2026091202,2026091202#11,1,1,BOTTOM,2-2,1,sota2486,gaifukaisei,R,サークルチェンジ,109.4,0.4,-0.9,16,false,-0.9,0.6,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#11,2,1,BOTTOM,0-0,2,sota2486,Rosario20,R,高速スライダー,112.7,-0.1,1.2,24,false,0.4,0.4,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#11,3,1,BOTTOM,1-0,2,sota2486,Rosario20,R,ライズボール,117.8,2.0,0.0,24,false,0.5,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#11,4,1,BOTTOM,2-0,2,sota2486,Rosario20,R,ライズボール,115.8,2.0,0.0,17,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#11,5,1,BOTTOM,2-1,2,sota2486,Rosario20,R,超高速シンカー,112.0,-1.0,-1.2,21,false,-0.6,0.1,true,false,true,FOUL,78.1,-3.6,-93.4,7.4,
Pitching,2026091202,2026091202#11,6,1,BOTTOM,2-2,2,sota2486,Rosario20,R,ライズボール,118.0,2.0,0.0,23,false,0.2,0.3,false,false,false,BALL,,,,,
