game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,1,BOTTOM,2026091201#5,run,sota2486,-1,-1,179.2,34.5,,30-45/175-200,0,4,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,2,TOP,,spot,sota2486,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091201,2,BOTTOM,2026091201#16,run,sota2486,29,58,64.6,23.4,21.0,15-30/LT100,1,1,true,1.00,,,,,,,,,,,,,,,true,,,FORCE,,R
2026091201,3,TOP,,spot,sota2486,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,2026091201#18,field,sota2486,30,113,158.1,12.0,55.9,0-15/150-175,,,,,SHORTSTOP,3,270.6,-108.8,297.4,-121.1,false,true,false,false,false,1,-1,,false,false,false,false,,R
2026091201,3,TOP,2026091201#19,field,sota2486,2,57,121.9,-11.8,2.9,LT0/100-125,,,,,SHORTSTOP,1,276.3,-110.2,286.1,-69.4,false,false,true,true,false,1,40,131.1,false,false,false,false,,R
2026091201,3,TOP,2026091201#20,field,sota2486,95,140,156.6,33.9,107.2,30-45/150-175,,,,,SHORTSTOP,2,271.6,-108.7,262.0,-171.1,false,false,false,false,false,4,-1,,false,false,false,false,,R
2026091201,3,TOP,2026091201#21,field,sota2486,2,61,146.9,-50.6,0.6,LT0/125-150,,,,,SHORTSTOP,1,273.0,-111.3,285.6,-67.1,false,false,true,false,false,2,19,133.5,false,false,false,false,,R
2026091201,3,BOTTOM,2026091201#23,run,sota2486,40,180,175.8,13.6,79.0,0-15/175-200,0,2,false,1.00,,,,,,,,,,,,,,,true,,,,,R
2026091201,4,TOP,,spot,sota2486,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091201,4,BOTTOM,2026091201#31,run,sota2486,-1,-1,165.3,42.1,,30-45/150-175,0,4,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,5,TOP,,spot,sota2486,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091201,5,TOP,2026091201#35,field,sota2486,94,122,169.4,37.2,109.4,30-45/150-175,,,,,SHORTSTOP,2,273.4,-109.3,270.7,-174.9,false,true,false,false,false,2,-1,,false,false,false,false,,R
2026091201,5,TOP,2026091201#38,field,sota2486,92,175,157.3,27.8,112.7,15-30/150-175,,,,,SHORTSTOP,2,273.2,-112.8,243.5,-171.1,false,true,false,false,false,2,-1,,false,false,false,false,,R
2026091201,5,TOP,2026091201#39,field,sota2486,56,144,170.0,21.5,92.5,15-30/150-175,,,,,SHORTSTOP,2,271.2,-110.6,269.7,-157.7,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091202,1,TOP,2026091202#6,run,sota2486,-1,-1,209.0,19.7,,15-30/200+,0,4,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,1,BOTTOM,,spot,sota2486,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,2,BOTTOM,,spot,sota2486,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,3,BOTTOM,,spot,sota2486,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,3,BOTTOM,2026091202#27,field,sota2486,10,25,154.5,1.1,20.0,0-15/150-175,,,,,PITCHER,,285.3,-85.4,283.0,-86.3,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091202,4,TOP,2026091202#30,run,sota2486,58,75,156.4,22.4,87.1,15-30/150-175,0,1,false,0.82,,,,,,,,,,,,,,,true,,,,,R
2026091202,4,BOTTOM,,spot,sota2486,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,4,BOTTOM,2026091202#33,field,sota2486,11,89,208.3,1.6,29.1,0-15/200+,,,,,PITCHER,,285.8,-85.9,289.9,-95.3,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091202,4,BOTTOM,2026091202#35,field,sota2486,56,143,190.9,19.3,106.7,15-30/175-200,,,,,PITCHER,3,286.0,-85.4,249.2,-166.8,false,false,false,false,false,4,-1,,false,false,false,false,,R
2026091202,5,TOP,2026091202#41,run,sota2486,-1,-1,189.2,38.1,,30-45/175-200,0,4,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,5,BOTTOM,,spot,sota2486,,,,,,,,,,,SHORTSTOP,,,,,,,,,,,,,,,,,,,R
2026091202,5,BOTTOM,2026091202#47,field,sota2486,2,36,96.1,-58.0,2.4,LT0/LT100,,,,,SHORTSTOP,2,273.6,-112.8,286.2,-68.8,false,true,true,true,false,2,21,131.7,false,false,false,false,,R
