side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Pitching,2026091201,2026091201#1,1,1,TOP,0-0,0,syobonnkun,TYPE_NOOB,R,スラーブ,101.4,0.5,2.1,20,false,1.1,0.8,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#1,2,1,TOP,1-0,0,syobonnkun,TYPE_NOOB,R,ツーシームファスト,119.4,0.9,-0.7,5,false,0.7,2.4,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#1,3,1,TOP,2-0,0,syobonnkun,TYPE_NOOB,R,サークルチェンジ,107.4,0.6,-0.8,13,true,0.1,1.2,true,false,true,IN_PLAY,146.0,35.0,-10.9,94.1,FLY_OUT
Pitching,2026091201,2026091201#2,1,1,TOP,0-0,1,syobonnkun,Pen4,L,SFF,108.6,-0.6,0.0,13,true,0.1,1.1,true,false,true,FOUL,37.2,-7.1,-119.5,7.0,
Pitching,2026091201,2026091201#2,2,1,TOP,0-2,1,syobonnkun,Pen4,L,ツーシームファスト,119.4,0.8,-0.7,22,false,-0.5,0.2,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#2,3,1,TOP,1-1,1,syobonnkun,Pen4,L,スラーブ,103.1,0.7,2.0,18,true,0.0,0.9,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#2,4,1,TOP,2-1,1,syobonnkun,Pen4,L,SFF,107.4,-0.6,0.0,23,false,0.1,0.4,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091201,2026091201#2,5,1,TOP,2-2,1,syobonnkun,Pen4,L,サークルチェンジ,107.7,0.4,-0.9,3,false,0.0,2.5,true,false,true,IN_PLAY,125.7,24.0,0.2,72.7,FLY_OUT
Pitching,2026091201,2026091201#3,1,1,TOP,0-0,2,syobonnkun,hachi_18,R,SFF,107.3,-0.6,0.0,3,false,0.2,2.0,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091201,2026091201#3,2,1,TOP,0-1,2,syobonnkun,hachi_18,R,ツーシームファスト,120.5,0.8,-0.7,13,true,-0.2,1.1,false,false,false,CALLED_STRIKE,,,,,STRIKE_OUT
Pitching,2026091201,2026091201#4,1,1,TOP,0-2,2,syobonnkun,hachi_18,R,サークルチェンジ,107.9,0.4,-0.9,22,false,-0.4,0.0,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091201,2026091201#7,2,1,BOTTOM,0-0,1,Pen4,syobonnkun,R,SFF,108.3,-0.5,0.0,23,false,-0.2,-0.5,true,false,true,IN_PLAY,172.7,-15.5,-17.1,34.7,GROUND_OUT
Pitching,2026091201,2026091201#9,2,2,TOP,0-0,0,syobonnkun,hachi_18,R,SFF,108.3,-0.6,0.0,3,false,0.2,2.6,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#9,3,2,TOP,1-0,0,syobonnkun,hachi_18,R,スラーブ,102.6,0.7,2.0,20,false,0.7,0.9,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#9,4,2,TOP,2-0,0,syobonnkun,hachi_18,R,ツーシームファスト,120.0,0.9,-0.7,17,true,-0.3,0.7,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#9,5,2,TOP,2-1,0,syobonnkun,hachi_18,R,サークルチェンジ,108.2,0.3,-0.9,8,true,-0.1,1.4,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#9,6,2,TOP,2-2,0,syobonnkun,hachi_18,R,SFF,107.8,-0.6,0.0,13,true,0.1,1.2,true,false,true,FOUL,54.6,26.0,92.7,7.8,STRIKE_OUT
Pitching,2026091201,2026091201#10,1,2,TOP,2-2,0,syobonnkun,hachi_18,R,ツーシームファスト,121.0,0.8,-0.7,13,true,0.1,1.1,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#10,2,2,TOP,0-0,1,syobonnkun,M0nJ,R,ツーシームファスト,120.5,0.9,-0.7,8,true,0.0,1.4,true,false,true,IN_PLAY,168.0,29.2,-1.8,104.8,FLY_OUT
Pitching,2026091201,2026091201#11,1,2,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,108.9,0.4,-0.9,18,true,0.1,0.9,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#11,2,2,TOP,0-1,2,syobonnkun,TYPE_NOOB,R,SFF,107.9,-0.6,0.0,3,false,0.1,2.7,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091201,2026091201#11,3,2,TOP,0-2,2,syobonnkun,TYPE_NOOB,R,スラーブ,103.4,0.3,2.2,20,false,1.9,0.7,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#11,4,2,TOP,1-2,2,syobonnkun,TYPE_NOOB,R,スラーブ,102.1,-1.4,2.8,25,false,1.2,0.1,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#11,5,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,SFF,106.7,-0.5,0.0,15,false,0.6,1.3,true,false,true,FOUL,81.0,45.3,-122.1,11.1,
Pitching,2026091201,2026091201#11,6,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,サークルチェンジ,106.3,0.4,-1.0,8,true,0.0,1.3,true,false,true,FOUL,128.5,66.3,-58.0,34.2,STRIKE_OUT
Pitching,2026091201,2026091201#12,1,2,TOP,2-2,2,syobonnkun,TYPE_NOOB,R,ツーシームファスト,120.0,0.8,-0.7,23,false,0.1,0.3,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091201,2026091201#15,2,2,BOTTOM,0-0,1,Pen4,syobonnkun,R,ツーシームファスト,121.0,0.9,-0.7,23,false,0.2,0.2,true,false,true,FOUL,36.9,-40.3,164.7,6.7,
Batting,2026091201,2026091201#15,3,2,BOTTOM,0-1,1,Pen4,syobonnkun,R,SFF,108.9,0.3,0.0,24,false,0.5,0.4,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091201,2026091201#15,4,2,BOTTOM,0-2,1,Pen4,syobonnkun,R,ライズボール,116.1,2.1,0.0,23,false,0.1,0.1,false,false,false,BALL,,,,,STRIKE_OUT
Batting,2026091201,2026091201#16,1,2,BOTTOM,1-2,1,Pen4,syobonnkun,R,ツーシームファスト,121.8,0.8,-0.7,17,true,-0.2,0.6,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#17,1,3,TOP,0-0,0,syobonnkun,Pen4,L,SFF,107.5,-0.6,0.0,8,true,0.0,1.3,true,true,false,CALLED_STRIKE,,,,,
Pitching,2026091201,2026091201#17,2,3,TOP,0-1,0,syobonnkun,Pen4,L,スラーブ,102.7,-1.0,2.5,25,false,0.7,0.2,false,false,false,BALL,,,,,
Pitching,2026091201,2026091201#17,3,3,TOP,1-1,0,syobonnkun,Pen4,L,ツーシームファスト,122.4,0.8,-0.7,3,false,0.1,1.8,true,false,true,IN_PLAY,119.9,50.7,25.2,55.5,FLY_OUT
Pitching,2026091201,2026091201#18,1,3,TOP,0-0,1,syobonnkun,hachi_18,R,サークルチェンジ,107.9,0.4,-0.9,14,true,0.3,1.1,true,false,true,IN_PLAY,158.1,12.0,8.8,92.0,SINGLE
Pitching,2026091201,2026091201#19,1,3,TOP,0-0,1,syobonnkun,M0nJ,R,ツーシームファスト,120.2,0.9,-0.7,13,true,0.2,0.9,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091201,2026091201#19,2,3,TOP,0-1,1,syobonnkun,M0nJ,R,サークルチェンジ,107.6,0.6,-0.9,23,false,0.0,0.1,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091201,2026091201#19,3,3,TOP,0-2,1,syobonnkun,M0nJ,R,SFF,107.4,-0.6,0.0,24,false,0.5,-0.2,true,false,true,IN_PLAY,121.9,-11.8,8.2,35.2,GROUND_OUT
Pitching,2026091201,2026091201#20,1,3,TOP,0-0,2,syobonnkun,TYPE_NOOB,R,SFF,107.3,-0.6,0.0,4,false,0.3,3.1,false,false,false,BALL,,,,,
