game,inning,half,pa,kind,player,hangTicks,touchTicks,exitVelocity,launchAngle,distance,battedType,startBase,endBase,outOnPlay,sprintRatio,position,touchOrder,startX,startZ,landX,landZ,caughtOnFly,fumbled,threwToBase,gotOut,doublePlay,basesAllowed,transferTicks,throwSpeed,dived,throwError,fumbleOnFly,assist,outKind,throwHand
2026091201,1,BOTTOM,2026091201#7,run,syobonnkun,2,39,172.7,-15.5,2.5,LT0/150-175,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FORCE,,R
2026091201,2,TOP,,spot,syobonnkun,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,,spot,syobonnkun,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,3,TOP,2026091201#19,field,syobonnkun,2,57,121.9,-11.8,2.9,LT0/100-125,,,,,PITCHER,,285.2,-85.8,286.1,-69.4,false,false,false,false,false,1,-1,,false,false,false,false,,R
2026091201,4,TOP,,spot,syobonnkun,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091201,4,TOP,2026091201#27,field,syobonnkun,15,27,144.3,4.6,26.6,0-15/125-150,,,,,PITCHER,,285.6,-85.7,294.4,-91.6,false,false,false,false,false,0,-1,,false,false,false,false,,R
2026091201,4,BOTTOM,2026091201#33,run,syobonnkun,48,562,157.0,20.7,77.2,15-30/150-175,0,2,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091201,5,TOP,,spot,syobonnkun,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,1,TOP,,spot,syobonnkun,,,,,,,,,,,PITCHER,,,,,,,,,,,,,,,,,,,R
2026091202,1,TOP,2026091202#4,field,syobonnkun,3,46,129.3,-17.7,3.6,LT0/125-150,,,,,PITCHER,,284.8,-85.6,286.3,-70.0,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091202,1,TOP,,field,syobonnkun,15,15,194.1,8.3,38.4,0-15/175-200,,,,,PITCHER,,285.4,-85.4,293.3,-104.1,false,false,true,false,false,2,-1,112.4,false,false,false,false,,R
2026091202,2,TOP,,spot,syobonnkun,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,3,TOP,,spot,syobonnkun,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,3,BOTTOM,2026091202#23,run,syobonnkun,55,118,175.6,20.2,96.8,15-30/175-200,0,1,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,3,BOTTOM,2026091202#24,run,syobonnkun,69,186,156.2,20.8,100.2,15-30/150-175,1,3,false,1.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,3,BOTTOM,2026091202#25,run,syobonnkun,51,109,215.8,15.2,112.6,15-30/200+,3,3,false,0.00,,,,,,,,,,,,,,,false,,,,,R
2026091202,4,TOP,,spot,syobonnkun,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,5,TOP,,spot,syobonnkun,,,,,,,,,,,SECOND_BASEMAN,,,,,,,,,,,,,,,,,,,R
2026091202,5,TOP,2026091202#42,field,syobonnkun,26,155,188.3,7.7,57.8,0-15/175-200,,,,,SECOND_BASEMAN,,297.9,-105.4,307.5,-120.0,false,false,false,false,false,2,-1,,false,false,false,false,,R
2026091202,5,BOTTOM,2026091202#48,run,syobonnkun,11,22,161.5,2.9,22.8,0-15/150-175,0,0,true,0.00,,,,,,,,,,,,,,,false,,,FORCE,,R
